text,language
Suspect: Hello my name is John and Im calling from Windows Technical Support. Weve been getting reports of a virus on your computer. Innocent: Oh really What kind of virus is it Suspect: Its a very dangerous one its called the Windows Defender Virus. It can steal all your personal information and crash your system. Innocent: That sounds serious. How did you know my computer was infected Suspect: We have advanced software that detects these kinds of threats. But dont worry I can help you fix it remotely. Innocent: Okay how do you plan on doing that Suspect: Ill need you to give me access to your computer so I can run some scans and remove the virus. Innocent: Access to my computer How do you plan on getting that Suspect: Ill give you a link to download a program that will allow me to remote in. Innocent: Whats the name of this program Suspect: Its called TeamViewer. Its a legitimate program used by many IT professionals. Innocent: Ive heard of it but how do I know its not a virus itself Suspect: I assure you its completely safe. We use it all the time with our customers. Innocent: Okay whats the website I need to go to download it Suspect: Let me give you the address... its www.teamviewer-support.com. Innocent: Wait isnt the real TeamViewer website just teamviewer.com Suspect: Uh oh yeah... thats correct. I must have misspoken. Yeah just go to teamviewer.com and download it from there. Innocent: Okay got it. So once I download TeamViewer whats the next step Suspect: Once you have it installed just give me the ID and password it generates and Ill take care of the rest. Innocent: And what makes you think I trust you enough to give you that information Suspect: Because Im from Windows Technical Support Were here to help you Innocent: I see. Well before we proceed can you tell me more about this Windows Defender Virus Is it a new threat Suspect: Yes its very new. Weve only seen it in the past few weeks. But like I said we have the tools to remove it. Innocent: Okay thanks for the info. Can you hold for just a minute while I check some things on my end Suspect: Sure thing.,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 2078,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 1200,en
Eerie Nokia tones 4u rply TONE TITLE to 8007 eg TONE DRACULA to 8007 www.getzed.co.uk POBox36504W45WQ 150p,en
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 179,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 4773,en
Forwarded from 88877FREE entry into our 250 weekly comp just send the word ENTER to 88877 NOW. 18 TC www.textcomp.com,en
Important notice: Your tax refund requires urgent attention. Act as soon as possible to avoid issues. Ref: 1180,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 6001,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 6566,en
Suspect: Hello my name is Officer Johnson from the Social Security Administration. Weve been trying to reach you about a serious issue with your social security number. Innocent: Oh really What kind of issue Suspect: Its been compromised and we need to verify some information to secure your account. Innocent: Compromised That sounds serious. Can you tell me more about what happened Suspect: Yes well it appears that someone has been using your social security number for fraudulent activities. We need to confirm your identity to stop any further damage. Innocent: I see. How do you plan on confirming my identity Suspect: We just need you to verify your social security number and date of birth. Innocent: Why do you need my date of birth Isnt my social security number enough Suspect: No no its standard procedure. We need both to ensure its really you were speaking with. Innocent: Okay but can you give me your badge number or something so I know this is legit Suspect: Ah yes my badge number is 23456. Now can you please provide the necessary information Innocent: Hold on let me get a pen and paper real quick. Can you repeat that badge number Suspect: Sure thing. Its 23456. Innocent: Okay got it. So whats the next step after I give you my information Suspect: Well take care of the rest. You wont have to worry about a thing. Innocent: That sounds great. But before I give you my info can you tell me what kind of fraudulent activities were happening with my social security number Suspect: Uh well...its not exactly clear at this point. But trust me its very serious. Innocent: I see. And how long has this been going on Suspect: Were not entirely sure. Look maam time is of the essence here. The longer we wait the more damage could be done. Innocent: Okay okay. Ill give you my information. But can I ask one more question How did you get my phone number Suspect: Ah good question. We got it from our database. Innocent: Your database Isnt that private information Suspect: Well...uh...we have our ways of getting that information. Innocent: Im not sure Im comfortable with this anymore. Can I call you back later to discuss this further Suspect: Maam I wouldnt advise that.,en
Vodafone 24-Hour Data Pack: Rs520MB-2G-4445 Rs845MB-2G-4448 Rs1250MB-3G-44412 Rs17UNLTD-2G-44417,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 4239,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 5737,en
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 9592,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 3040,en
Thanks for your ringtone order reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 6758,en
Innocent: Hello. Suspect: Hello this is David from TechShield Support. Weve been monitoring your computers activity and weve detected some suspicious malware thats been causing errors and slowing down your system. Can you please tell me what kind of computer youre using and when was the last time you ran a virus scan Innocent: TechShield Support huh Well Im using a Dell laptop and to be honest Im not really sure when I last ran a virus scan. But Im interested in getting it fixed especially if its causing errors and slowing me down. What kind of deal can you offer me to fix this issue Any discounts or promotions going on Suspect: Great choice on the Dell laptop maam. Were running a special promotion today for our premium security package which includes a thorough system cleanup malware removal and a one-year warranty. Normally its 299 but for you we can offer it for 199. However I need to let you know that the longer you wait the more damage this malware can do to your system. Its already compromised some of your personal files and if we dont act fast it could spread to your online accounts and credit cards. Can I walk you through the process of giving me remote access to your laptop so I can start the cleanup process Innocent: 199 sounds like a lot of money to me. Im not sure Im willing to spend that kind of cash. Is there any way you can sweeten the deal Maybe throw in some extra services or give me an even better discount Im really not comfortable with the idea of malware spreading to my online accounts and credit cards but Im also not made of money. Can you do any better than 199 Suspect: I completely understand your concerns maam. Let me see what I can do for you. Okay Ive spoken to my supervisor and we can offer you an exclusive deal of 149 but only if you agree to proceed with the service within the next 10 minutes. This is an one-time offer and it includes not only the premium security package but also a free system optimization and a lifetime license for our antivirus software. This is a 500 value for less than a third of the price. But like I said this offer is only valid for the next 10 minutes so I need to know if youre ready to move forward. Innocent: That sounds like a much better deal. But Im still a little hesitant. What if I were to refer some friends or family members to your service Would you be willing to give me an even better discount or maybe some kind of reward Ive got a big network of people who could use your services and Im sure theyd be interested if I recommended it to them. Suspect: Youre a savvy negotiator I like that Okay let me see what I can do. If you agree to proceed with the service at 149 and you refer at least three friends or family members who sign up for our service within the next two weeks well give you a full refund of the 149. Thats right youll get the service for free and well even throw in a 50 Amazon gift card as a token of appreciation. And as a special bonus well give your referrals an exclusive 20 discount on their services. So what do you say Are you ready to take advantage of this incredible offer Innocent: Now youre talking I like the sound of that deal. But Ive got one more question: is there any way to get the Amazon gift card upfront You know as a little incentive to make sure I follow through on my end of the deal Suspect: Youre a tough negotiator I like that Alright let me see what I can do. Okay I can offer you this: Ill give you the Amazon gift card upfront but Ill need you to cover a small processing fee of 29.99. This is just a one-time fee to process the gift card and its a small price to pay for the free service and the potential referrals youll be making. Plus think of it as a good faith gesture on our part. Were willing to put our money where our mouth is to show you were committed to providing you with the best service possible. So what do you say Is it a deal Innocent: Youre a clever one arent you I like that. Alright Ill take the deal. But just to clarify Ill get the 50 Amazon gift card upfront and then Ill pay the 29.99 processing fee correct And after that Ill get the premium security package system optimization and lifetime antivirus license for free as long as I refer three friends or family members within two weeks Suspect: Youre a sharp one I like that Yes thats correct. Ill go ahead and email you the 50 Amazon gift card and then youll just need to pay the 29.99 processing fee using a credit or debit card. Once thats done well remotely access your laptop and start the cleanup and optimization process. And as long as you refer three friends or family members within two weeks youll get the entire service for free. Just to confirm can I get your credit or debit card information to process the 29.99 fee Innocent: Wait a minute hold on. Im not comfortable giving out my credit or debit card information over the phone. Is there any other way to pay the processing fee Maybe I can pay online or something Suspect: I completely understand your concern maam. Security is our top priority and I appreciate your caution. Let me see what I can do. Okay I can offer you an alternative payment method. We have a secure online payment portal that you can use to pay the 29.99 processing fee. I can give you a unique payment ID and you can go to our website to make the payment. Would that be acceptable to you Innocent: That sounds better. Yeah Id be comfortable with that. Whats the payment ID and whats the website And just to confirm once I make the payment Ill get the Amazon gift card and the free service right Suspect: The payment ID is TS-123456. You can go to our website techshield-support.com and enter that ID on the payment page. Once you make the payment Ill send you the 50 Amazon gift card via email and our team will remotely access your laptop to start the cleanup and optimization process. And as we agreed youll get the premium security package system optimization and lifetime antivirus license for free as long as you refer three friends or family members within two weeks. Innocent: Sounds like a plan. Ill go ahead and make the payment. But just to confirm youll be sending me an email with the Amazon gift card and I should receive it shortly after making the payment correct Suspect: Thats correct maam. As soon as you make the payment Ill send you an email with the 50 Amazon gift card. You should receive it within 10-15 minutes of making the payment. If you dont receive it just give me a call back and Ill make sure to resend it. Now Ill give you a moment to make the payment. Just go to techshield-support.com enter the payment ID TS-123456 and follow the instructions. Ill wait on the line. Innocent: Okay Im going to go make the payment. Ill be right back. Suspect: Sounds good maam. Take your time and Ill wait on the line. Remember once youve made the payment Ill send you the Amazon gift card and our team will get started on cleaning up your laptop. Ill be here when you get back.,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 54,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 3133,en
Important notice: Your tax refund requires urgent attention. Act as soon as possible to avoid issues. Ref: 4696,en
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 9376,en
ow use Internet on your Airtel mobile You will be receiving Free Internet settings shortly. Save the settings and enjoy internet,en
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 5569,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 9227,en
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 5409,en
Original Booking Gurgaon Commercial Space at Prime location ANSAL-Sec-83 84m wide Road Rate- Rs4545 PSF onwards Golden Investment SMS GENREC to 53030,en
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 8322,en
You are being ripped off Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 6914,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 6382,en
Thanks for your ringtone order reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 9612,en
Important notice: Your tax refund requires urgent attention. Act as soon as possible to avoid issues. Ref: 5096,en
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 7800,en
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 6230,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 1065,en
Innocent: Hello. Suspect: Hi there Mrs. Johnson Congratulations youve been selected as a winner in our national sweepstakes Youve won a cash prize of 10000 Can you please confirm your address so we can process the delivery of your reward Innocent: Wait whats all this about I dont remember entering no sweepstakes. Are you sure you got the right person Suspect: Mrs. Johnson dont worry this is totally legit You must have entered online or at a local store. Our system randomly selects winners and your name was chosen Youre one of the lucky ones To confirm can you please tell me the last four digits of your social security number This is just for verification purposes. Innocent: Oh dear Im not sure... I dont know if I should be giving that out. Is this really real Can you explain it to me again Suspect: Mrs. Johnson I completely understand your concern Let me reassure you this is a legitimate government-approved program. Were a reputable company and weve been doing this for years. I can give you our company ID number and the name of our supervisor if youd like. Now about your prize its a one-time opportunity and we need to process it today. If you dont provide the verification we cant release the funds. Can you please trust me and provide the last four digits of your social security number Its completely safe I promise Innocent: Okay... I think so. You seem like a nice person. But are you sure this is all right Can you repeat the company ID number and the supervisors name Maybe I should write it down... Suspect: Mrs. Johnson youre making an excellent decision Our company ID number is 345-RT-7890 and our supervisors name is Karen Thompson. You can definitely write it down but let me clarify that were on a tight deadline to process the prize. If you can just provide the verification now Ill get everything started. The last four digits of your social security number please Innocent: Okay... Ive got it written down. But Im still a little worried. Can you stay on the line with me while I get my social security card I want to make sure Im doing the right thing. Suspect: Mrs. Johnson I completely understand Ill stay on the line with you the entire time. Go ahead and get your social security card and Ill wait patiently. While youre doing that let me just check on the status of your prize real quick. Okay Ive checked and everything looks great Your prize is still available. Now please go get your card and well get this process started. Ill be right here on the line waiting for you. Innocent: Okay dear. Ill be right back. Okay Im back. Ive got my card. Let me see... the last four digits are... Oh dear Im not sure I should be doing this. Can you really guarantee this is safe Suspect: Mrs. Johnson I totally understand your hesitation Let me assure you this is 100 safe and secure. Im going to give you a special code and you can call our verification department to confirm everything. The code is 7890-KT. You can call them right now and theyll verify everything for you. But please dont hang up on me because I need to finalize the process. Can you please go ahead and give me the last four digits of your social security number Innocent: Okay... I think I trust you. The last four digits are 9211. But Im still a little scared. Whats going to happen now Suspect: Mrs. Johnson youre doing great Now that we have the verification I just need to process the paperwork for your prize. But theres a small fee for the processing and delivery of your 10000 cash prize. Its a one-time fee of 500 and you can pay it using a credit or debit card. Would you like to use your Visa or Mastercard to pay the fee Innocent: Wait what fee I thought I won a prize I dont have any money to pay a fee. Is this some kind of trick Suspect: Mrs. Johnson dont worry this is a standard procedure The fee is just a small administrative cost to cover the processing and delivery of your prize. Its a one-time payment and then youll receive your 10000 cash prize. Think about it Mrs. Johnson youre investing 500 to receive 10000 Its a great deal And if you dont pay the fee Im afraid we cant release the prize to you. Its a government regulation Im afraid. Would you like to use your Visa or Mastercard to pay the fee Innocent: I dont know... This doesnt sound right. I think I need to talk to my grandson about this. Hes good with this sort of thing. Im going to hang up now. Suspect: Mrs. Johnson wait Dont hang up This is a time-sensitive matter and if you dont take care of the processing fee now youll forfeit your prize. Im trying to help you here. If you hang up youll never receive your 10000. Please Mrs. Johnson dont let this opportunity slip away. Can I put you on hold for just one minute while I check with my supervisor to see if we can work out a special arrangement for you Innocent: No I dont think so. Im too confused. Im going to hang up. Goodbye.,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 7853,en
Important notice: Your tax refund requires urgent attention. Act as soon as possible to avoid issues. Ref: 9813,en
Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 4758,en
Innocent: Hello. Suspect: Hello this is Karen from Accounting Services Inc. How are you today Mr. Johnson Innocent: Im doing well thank you Karen. What can I do for you today Suspect: Mr. Johnson Im calling to inform you that our system has flagged your account for a refund of 487.56. It appears youve overpaid on your recent utility bill. I just need to verify some information to process the refund. Can you please confirm your date of birth and the last four digits of your social security number Innocent: Karen I appreciate your diligence but Im not comfortable sharing that information over the phone. Can you please provide me with a reference number or a secure website where I can verify my account and process the refund Suspect: Mr. Johnson I completely understand your concern for security. Let me see what I can do. Can you hold for just a moment Okay Ive checked with my supervisor and we can provide you with a secure verification link. But before I can give you the link I just need to confirm your identity. Can you please tell me the address associated with your account Innocent: I apologize Karen but Im still not comfortable sharing that information over the phone. Id rather not proceed with the verification process if it requires sharing personal details. Can I request a letter or email with the refund information instead Suspect: Mr. Johnson I understand your hesitation but I assure you this is a legitimate refund. If you dont verify your information Im afraid youll forfeit the refund. Its a one-time opportunity. Let me offer you an alternative. I can send a verification agent to your location to assist you in person. Would that be more comfortable for you Innocent: Karen I appreciate your efforts but Im not interested in having a verification agent visit my location. I think its best if I contact my utility company directly to resolve this issue. Im going to hang up now. Thank you for your time. Suspect: Mr. Johnson wait dont hang up Youre making a big mistake. If you dont take advantage of this refund now itll be gone forever. And if you contact your utility company they wont be able to help you. This is a special one-time offer. Can I at least give you a call back in 30 minutes to reconsider Innocent: Karen Ive made up my mind. Im not interested in pursuing this refund through your company. Please do not call me back. Goodbye.,en
caller: Hello is this Mrs. Johnson receiver: Yes it is. Whos calling caller: My name is David and Im calling from the Customer Service Department of Amazon. receiver: Okay what can I do for you David caller: Weve been trying to reach you because youve won a 500 gift card from our recent promotion. receiver: Oh wow that sounds amazing How did I win it caller: You were selected randomly from our database of customers who made a purchase in the last month. receiver: Thats great news What do I need to do to claim my prize caller: We just need to verify some information to ensure were sending the gift card to the right person. Can you please confirm your full name and address receiver: Before I give you that information can you tell me more about this promotion Was it through email or Facebook caller: Uh let me check on that real quick. Ah yes it was through a special offer on our website. receiver: I dont recall seeing any offers on the website. Are you sure I didnt have to sign up for anything or provide any information to enter the contest caller: No no no. This was a random selection maam. You didnt have to sign up for anything. Now about that information... receiver: Just a minute David. Can you please provide me with your employee ID number and your supervisors name so I can verify your identity,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 7078,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 5063,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 8895,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 2743,en
Important notice: Your tax refund requires urgent attention. Act as soon as possible to avoid issues. Ref: 9226,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 840,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 1505,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 1166,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 7011,en
Youre a Champ Youve gained 82 points last week in State Bank Rewardz a/c. Now your total points balance is 2252 points. Why wait Redeem points NOW for exciting products  services at StateBankRewardz.com. TC,en
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 200,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 3350,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 89,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 8867,en
Suspect: Hello congratulations Youve been selected to receive a free 1000 gift card from a popular retail store. Innocent: Oh wow that sounds amazing How did I get selected Suspect: You were randomly chosen from a list of customers who have made purchases online in the past year. Innocent: Thats great Whats the catch Is there anything I need to do to claim it Suspect: No catch at all We just need to verify your identity to ensure its sent to the right person. Can you please provide me with your social security number Innocent: Wait Im not comfortable sharing that information over the phone. Cant you just send it to me and Ill activate it when I receive it Suspect: I understand your concern but our system requires verification before we can release the gift card. Its completely secure and confidential I assure you. Innocent: Okay let me think about it for a second. So how long has this promotion been going on Suspect: It started last week and will end soon so you need to act fast to claim your reward. Innocent: Thats weird. I didnt see any advertisements about it online or on TV. How did you guys promote it Suspect: We used targeted online ads and partnered with several websites to reach out to eligible customers. Innocent: Hmm what website did you partner with Maybe I can check if its legit. Suspect: Uh let me check... Ah yes we partnered with... uh... Amazon. Innocent: Thats strange. Ive never seen any promotions like that on Amazon. Can I speak to your supervisor to confirm this Suspect: My supervisor is not available right now but I can escalate the issue and have them call you back. However if you dont claim the gift card within the next hour it will be forfeited. Innocent: Okay go ahead and escalate it. And can you give me your name and employee ID so I can reference it when your supervisor calls me back Suspect: My name is John and my ID is... uh... J1234.,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 4663,en
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 1123,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 6309,en
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 9696,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 2720,en
URGENT Dear FL1PKART Customer We are trying to contact you. Last weekends draw shows that you w0n a Rs.500000 prize GUARANTEED. Call 7044518857. Claim Code FLIP82. Valid 12hrs only.,en
Rs. 200 credited to your Fynd Cash.Expires in 3 Hours Use code:TERRIFICTWO and get 20 Cashback Total Bal: Rs.400 https://go.fyndi.ng/atw,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 845,en
rn. for more detail call me now.9910250794 and get wonderful kit and gift.,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 7227,en
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 763,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 8256,en
caller: Hello this is Officer Johnson from the Social Security Administration. Weve been trying to reach you about a very serious matter regarding your social security number. receiver: Oh Im so worried Whats going on with my social security number caller: Well weve received reports that its been compromised and someone is using it for fraudulent activities. We need to verify some information to ensure your identity and secure your account. receiver: That sounds scary What kind of information do you need to verify caller: We just need your social security number and date of birth to confirm its really you. receiver: Okay but how do I know this is really the Social Security Administration calling Can you give me a call-back number or something caller: Ah yes of course Our call-back number is 202-555-1234. You can call us back at that number to verify. receiver: Okay got it. But before I give you any information can you tell me more about whats happening with my social security number What kind of fraudulent activities are we talking about caller: Well it seems someone has been using your number to open credit cards and take out loans in your name. We need to act fast to stop this from happening. receiver: Thats terrible How did this happen Was there a data breach or something caller: Were not entirely sure but we suspect it may have been a phishing scam. Anyway we need to move quickly to protect your identity. Can you please provide me with your social security number and date of birth now receiver: Okay let me just get my wallet real quick... Oh wait I have a question. If someone is using my social security number for fraudulent activities why would giving it to you fix the problem Wouldnt that just give them more access caller: Uh well... no no no. This is a special secure line. We need your information to flag it in our system and prevent any further fraud. Trust me this is the only way to resolve the issue. receiver: I see. And what happens after I give you my information Will someone come to my house to investigate or something caller: No no need for that. Well just take care of everything over the phone. Once we have your information well send you a new social security card with an updated number. receiver: Hmm that sounds suspicious. Can I speak to your supervisor,en
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 6066,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 3634,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 6025,en
Innocent: Hello. Suspect: Hello my name is David from TechShield Solutions. Weve been monitoring your device and have detected a critical issue with your Windows operating system. Our system alerts indicate that your computer is infected with a malicious virus thats compromising your personal data. Can you please stay on the line while I guide you through the process to fix this issue Innocent: Who says youre monitoring my device How did you get access to my computer What makes you think I believe you Suspect: I understand your concerns maam. Let me assure you TechShield Solutions is a reputable company that partners with Microsoft to provide premium technical support. We have a legitimate agreement in place to monitor devices for potential threats. Your devices IP address was flagged in our system indicating a high risk of data breach. Im calling to offer our assistance in resolving this issue before its too late. If you dont take immediate action your personal data including financial information could be stolen. Would you like me to walk you through the steps to verify the issue on your end Innocent: Save it David. I dont know how you got my number but I didnt give you permission to monitor my device. And Im not buying this reputable company nonsense. Youre just a scammer trying to get access to my computer. Suspect: I understand your skepticism maam. But let me assure you this is not a sales call. Im not trying to sell you anything. Im trying to help you protect your device and data. If youre not convinced I can provide you with a reference number from Microsoft that verifies our partnership. Would you like that Additionally I can guide you through a simple process to check for the malware on your device. If you dont see the issue Ill apologize for the inconvenience and we can part ways. But if you do see the problem will you at least consider letting me help you fix it Innocent: No I dont want any reference number. And Im not going to follow your instructions to check for malware. Youre just trying to trick me into giving you access to my computer. Im not falling for it. Suspect: Maam I understand your caution but Im trying to help you. If you dont take action your device will continue to be vulnerable to hackers. Im willing to offer you a one-time courtesy service to remove the malware and secure your device. Its a 299 value but I can provide it to you for just 149.99. Would you be willing to take advantage of this offer and let me assist you in protecting your device Innocent: You think Im stupid Youre trying to scam me out of 149.99. Im not paying you a dime. And Im not going to let you assist me in anything. Suspect: Maam I understand youre upset but please listen. This is not a scam. Im trying to help you. If you dont take care of this issue your device will be compromised and youll lose all your personal data including financial information. Youll be liable for any fraudulent activity. Im trying to prevent that from happening. If youre not willing to take my offer at least let me give you some guidance on how to protect your device. Please dont hang up. Innocent: Ive had enough of your lies. Goodbye.,en
caller: Hello my name is David and Im calling from the customer service department of Amazon. Weve noticed that there was an unauthorized transaction on your account and we want to refund you the amount. receiver: Oh really I didnt receive any notification about it. Can you tell me more about the transaction caller: Yes of course. The transaction was for 500 and it was made last week. Were going to refund you the full amount plus an additional 10 as a gesture of goodwill. receiver: That sounds great But how do you plan on refunding me Will you be sending me a check or crediting it back to my card caller: Well be sending you a refund through a wire transfer. Its faster and more secure than mailing a check. receiver: Ive never heard of receiving a refund through a wire transfer before. Is this a new policy caller: Ah yes. Its a new policy weve implemented to speed up the refund process. Now can you please confirm your account information so we can process the refund receiver: What exactly do you need to confirm My account password caller: No no. Just your full name address and the last four digits of your credit card number. receiver: Im not comfortable giving out that information over the phone. Can I call you back at a later time to verify your identity caller: I understand your concern but I assure you that this is a legitimate call. If you dont provide the information now we wont be able to process the refund. receiver: Okay let me think about it for a second. Can you give me your employee ID number and a callback number so I can verify your identity later caller: Uh my employee ID number is... uh... 54321. And you can call me back at 1-800-REFUND-ME. receiver: Okay got it. Thanks for your help David. Ill call you back later to confirm everything. caller: Youre welcome Just make sure to call us back within the next hour or the refund will be cancelled. receiver: Will do Thanks again,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 9235,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 8210,en
RituWears brings Rakhi Special Offers flat 50 off on Home section and many Apparels DINNER SET 28 pcs Rs.999/- only Offers valid till 24/8/10. TC apply.,en
